Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Time_Orderd,Time_Order_picked,Order_Date,Weatherconditions,Road_traffic_density,Type_of_order,Type_of_vehicle,multiple_deliveries,City,Time_taken(min),distance,order_making(min),delivery_time(min)
25.449659,81.839744,25.469659,81.859744,10:20:00,10:30:00,15-02-2022,Sandstorms,Low,Meal,electric_scooter,0,Metropolitian,14,2.992439854305071,10,4
30.372202,78.077151,30.422202,78.127151,20:55:00,21:00:00,15-02-2022,Stormy,Jam,Meal,motorcycle,1,Metropolitian,30,7.335684979628153,5,25
12.972793,80.249982,13.062793,80.339982,20:10:00,20:15:00,16-03-2022,Cloudy,Jam,Snack,scooter,1,Metropolitian,36,13.944598794232531,5,31
21.157735,72.768778,21.197735,72.808778,12:10:00,12:15:00,17-03-2022,Sunny,High,Buffet,scooter,1,Urban,18,6.071959804867507,5,13
21.186438,72.794115,21.226438,72.834115,15:30:00,15:45:00,15-03-2022,Fog,Medium,Meal,scooter,0,Metropolitian,17,6.071422120848535,15,2
17.431477,78.40035,17.491477,78.46035,23:50:00,00:05:00,05-03-2022,Fog,Low,Buffet,motorcycle,0,Metropolitian,10,9.204061108012812,15,0
13.064181,80.236442,13.154181,80.326442,20:25:00,20:40:00,12-03-2022,Sandstorms,Jam,Buffet,motorcycle,2,Metropolitian,37,13.942135995521298,15,22
12.933298,77.614293,13.023298,77.704293,20:50:00,21:00:00,29-03-2022,Fog,Jam,Drinks,scooter,2,Metropolitian,44,13.945658037651098,10,34
22.311358,73.164798,22.351358,73.204798,12:35:00,12:45:00,19-03-2022,Windy,High,Drinks,electric_scooter,1,Metropolitian,28,6.049848888721861,10,18
12.934365,77.616155,13.044365,77.726155,21:00:00,21:15:00,10-03-2022,Cloudy,Jam,Snack,scooter,1,Metropolitian,42,17.04433026158702,15,27
13.086438,80.220672,13.196438,80.330672,18:15:00,18:20:00,27-03-2022,Cloudy,Medium,Snack,scooter,1,Metropolitian,39,17.039320664078645,5,34
19.254567,72.848923,19.364567,72.958923,18:20:00,18:25:00,27-03-2022,Stormy,Medium,Meal,motorcycle,0,Urban,20,16.790293751513897,5,15
26.913483,75.803139,26.933483,75.823139,11:45:00,11:50:00,24-03-2022,Stormy,High,Buffet,motorcycle,1,Metropolitian,31,2.976038261804114,5,26
17.411028,78.329645,17.471028,78.389645,20:45:00,20:55:00,09-03-2022,Stormy,Jam,Buffet,motorcycle,0,Metropolitian,13,9.204543446314432,10,3
15.5696,73.742294,15.6096,73.782294,12:45:00,12:50:00,15-02-2022,Windy,High,Snack,scooter,1,Urban,19,6.164026189217134,5,14
19.876428,75.364792,19.956428,75.444792,23:30:00,23:45:00,18-02-2022,Fog,Low,Buffet,motorcycle,2,Urban,42,12.189899417672075,15,27
12.939496,77.625999,12.949496,77.635999,10:50:00,10:55:00,01-03-2022,Fog,Low,Drinks,motorcycle,1,Metropolitian,23,1.5496181081271545,5,18
17.433809,78.386744,17.543809,78.496744,21:25:00,21:40:00,23-03-2022,Stormy,Jam,Meal,motorcycle,1,Metropolitian,39,16.872927418719993,15,24
23.374878,85.335739,23.384878,85.345739,10:10:00,10:20:00,01-04-2022,Stormy,Low,Drinks,motorcycle,1,Metropolitian,25,1.507218847377163,10,15
27.163303,78.057044,27.233303,78.127044,23:00:00,23:05:00,16-02-2022,Sandstorms,Low,Drinks,scooter,0,Metropolitian,15,10.405069829459713,5,10
22.74806,75.8934,22.76806,75.9134,08:40:00,08:55:00,11-03-2022,Cloudy,Low,Drinks,scooter,1,Urban,15,3.020706639820848,15,0
26.891191,75.802083,26.981191,75.892083,17:50:00,17:55:00,14-03-2022,Sunny,Medium,Buffet,electric_scooter,0,Metropolitian,15,13.391515800864784,5,10
12.316967,76.603067,12.366967,76.653067,22:20:00,22:25:00,01-04-2022,Sunny,Low,Drinks,motorcycle,0,Metropolitian,18,7.756832982430433,5,13
18.927584,72.832585,19.017584,72.922585,23:40:00,23:50:00,04-04-2022,Sandstorms,Low,Drinks,electric_scooter,0,Metropolitian,29,13.75048466722894,10,19
11.022298,76.998349,11.072298,77.048349,23:25:00,23:30:00,11-03-2022,Fog,Low,Snack,motorcycle,0,Metropolitian,20,7.774259486970199,5,15
12.325461,76.632278,12.365461,76.672278,12:40:00,12:55:00,13-03-2022,Cloudy,High,Meal,scooter,1,Metropolitian,39,6.205426791185968,15,24
18.530963,73.828972,18.640963,73.938972,23:30:00,23:45:00,04-03-2022,Windy,Low,Snack,motorcycle,0,Metropolitian,19,16.824024800777703,15,4
17.458998,78.500366,17.488998,78.530366,23:55:00,00:10:00,26-03-2022,Cloudy,Low,Snack,scooter,1,Urban,19,4.601882860108752,15,4
19.1813,72.836191,19.3113,72.966191,22:50:00,23:00:00,16-03-2022,Windy,Low,Meal,motorcycle,0,Metropolitian,17,19.846613904419858,10,7
11.022477,76.995667,11.032477,77.005667,10:25:00,10:40:00,01-03-2022,Stormy,Low,Snack,motorcycle,1,Urban,15,1.55490238236473,15,0
22.727021,75.884167,22.747021,75.904167,08:45:00,09:00:00,15-03-2022,Sandstorms,Low,Meal,motorcycle,0,Urban,19,3.020916215301368,15,4
12.979166,77.640709,13.069166,77.730709,21:25:00,21:40:00,04-03-2022,Sandstorms,Jam,Buffet,motorcycle,1,Metropolitian,29,13.94442758388673,15,14
18.994237,72.825553,19.104237,72.935553,22:35:00,22:40:00,18-03-2022,Cloudy,Low,Snack,scooter,1,Urban,22,16.80256330471995,5,17
12.284747,76.625861,12.414747,76.755861,20:10:00,20:20:00,23-03-2022,Fog,Jam,Drinks,scooter,0,Metropolitian,42,20.16747676677057,10,32
21.175975,72.795503,21.195975,72.815503,10:55:00,11:10:00,15-03-2022,Sandstorms,Low,Snack,scooter,0,Urban,12,3.035902790349682,15,0
11.000762,76.981876,11.130762,77.111876,20:35:00,20:45:00,08-03-2022,Cloudy,Jam,Snack,motorcycle,1,Metropolitian,38,20.212460530271784,10,28
21.173343,72.792731,21.283343,72.902731,23:20:00,23:35:00,10-03-2022,Sunny,Low,Drinks,motorcycle,1,Metropolitian,23,16.6952795873628,15,8
26.479108,80.315042,26.499108,80.335042,10:35:00,10:50:00,11-02-2022,Cloudy,Low,Meal,scooter,0,Metropolitian,15,2.980982302644137,15,0
21.175104,72.804342,21.255104,72.884342,23:45:00,23:50:00,14-03-2022,Sunny,Low,Snack,motorcycle,1,Metropolitian,24,12.142518774381282,5,19
19.176269,72.836721,19.286269,72.946721,19:55:00,20:00:00,16-03-2022,Windy,Jam,Drinks,motorcycle,0,Metropolitian,37,16.79399979607481,5,32
12.975377,77.696664,13.025377,77.746664,22:15:00,22:25:00,01-03-2022,Sandstorms,Low,Snack,scooter,0,Metropolitian,24,7.747259356563763,10,14
23.359194,85.325447,23.419194,85.385447,23:10:00,23:15:00,01-03-2022,Sunny,Low,Buffet,electric_scooter,0,Metropolitian,13,9.043027721349308,5,8
23.359407,85.325055,23.439407,85.405055,18:25:00,18:35:00,02-03-2022,Cloudy,Medium,Drinks,motorcycle,1,Urban,42,12.056953151950662,10,32
23.416792,85.316842,23.506792,85.406842,22:10:00,22:20:00,20-03-2022,Sandstorms,Low,Meal,motorcycle,1,Metropolitian,17,13.561204009757525,10,7
26.892312,75.806896,26.922313,75.836896,20:50:00,21:05:00,03-04-2022,Cloudy,Jam,Drinks,motorcycle,0,Metropolitian,25,4.464417671579878,15,10
22.761593,75.886362,22.871593,75.996362,18:45:00,18:50:00,29-03-2022,Fog,Medium,Snack,scooter,0,Metropolitian,39,16.610672955997153,5,34
11.026117,76.944652,11.066117,76.984652,14:55:00,15:05:00,17-03-2022,Sunny,High,Meal,scooter,0,Metropolitian,18,6.219419664894865,10,8
13.064181,80.236442,13.104181,80.276442,16:50:00,17:00:00,17-03-2022,Sandstorms,Medium,Drinks,motorcycle,1,Metropolitian,28,6.196805343667927,10,18
26.483042,80.317833,26.533042,80.367833,22:20:00,22:35:00,15-02-2022,Sandstorms,Low,Drinks,scooter,1,Metropolitian,18,7.4519201744257,15,3
11.000762,76.981876,11.130762,77.111876,00:00:00,00:15:00,18-03-2022,Windy,Low,Meal,scooter,0,Metropolitian,18,20.212460530271784,15,3
23.359033,85.325347,23.469033,85.435347,21:10:00,21:20:00,08-03-2022,Fog,Jam,Snack,scooter,1,Metropolitian,49,16.577488524535227,10,39
22.569358,88.433452,22.599358,88.463452,23:25:00,23:35:00,17-02-2022,Sunny,Low,Drinks,motorcycle,0,Metropolitian,15,4.53364788897892,10,5
12.914264,77.6784,12.994264,77.7584,23:30:00,23:35:00,31-03-2022,Sunny,Low,Drinks,motorcycle,1,Metropolitian,21,12.396712257294284,5,16
19.121999,72.908493,19.161999,72.948493,14:20:00,14:35:00,01-03-2022,Sunny,High,Snack,scooter,0,Metropolitian,23,6.108440050157439,15,8
21.157729,72.768726,21.167729,72.778726,10:15:00,10:25:00,03-04-2022,Fog,Low,Meal,scooter,1,Urban,11,1.5180601842214017,10,1
22.311603,73.165012,22.371603,73.225012,21:20:00,21:35:00,24-03-2022,Cloudy,Jam,Snack,motorcycle,0,Metropolitian,25,9.0744717731442,15,10
18.536562,73.896485,18.556562,73.916485,08:50:00,08:55:00,07-03-2022,Fog,Low,Snack,motorcycle,0,Metropolitian,18,3.059241752280784,5,13
22.745536,75.893106,22.765536,75.913106,09:00:00,09:05:00,09-03-2022,Cloudy,Low,Buffet,motorcycle,0,Metropolitian,14,3.020731790895242,5,9
12.933298,77.614293,13.023298,77.704293,17:45:00,18:00:00,12-03-2022,Windy,Medium,Drinks,motorcycle,2,Metropolitian,36,13.945658037651098,15,21
17.426228,78.407495,17.436228,78.417495,08:30:00,08:40:00,05-03-2022,Sandstorms,Low,Snack,motorcycle,1,Metropolitian,28,1.534129114265342,10,18
12.934365,77.616155,13.024365,77.706155,20:35:00,20:50:00,18-03-2022,Fog,Jam,Buffet,motorcycle,0,Metropolitian,44,13.945629461520332,15,29
11.003669,76.976494,11.063669,77.036494,23:25:00,23:40:00,13-03-2022,Windy,Low,Snack,motorcycle,1,Metropolitian,20,9.329319541894728,15,5
22.311358,73.164798,22.381358,73.234798,19:55:00,20:05:00,31-03-2022,Fog,Jam,Snack,motorcycle,1,Metropolitian,35,10.586720360323753,10,25
12.986047,80.218114,13.096047,80.328114,21:20:00,21:30:00,23-03-2022,Sandstorms,Jam,Meal,motorcycle,1,Metropolitian,50,17.042634005428827,10,40
17.41233,78.449654,17.47233,78.509654,21:45:00,21:50:00,24-03-2022,Stormy,Jam,Meal,scooter,1,Metropolitian,34,9.204512751051547,5,29
21.186884,72.793616,21.226884,72.833616,14:50:00,15:00:00,03-03-2022,Sandstorms,High,Snack,scooter,0,Urban,23,6.071413761024368,10,13
11.026117,76.944652,11.056117,76.974652,18:10:00,18:20:00,09-03-2022,Fog,Medium,Buffet,motorcycle,1,Metropolitian,27,4.6646029783419385,10,17
19.065838,72.832658,19.135838,72.902658,23:40:00,23:50:00,18-03-2022,Cloudy,Low,Buffet,scooter,1,Metropolitian,35,10.69100092566136,10,25
11.022477,76.995667,11.132477,77.105667,17:50:00,18:00:00,04-03-2022,Stormy,Medium,Snack,motorcycle,0,Metropolitian,30,17.10252275797518,10,20
12.310972,76.659264,12.350972,76.699264,12:30:00,12:45:00,01-04-2022,Cloudy,High,Snack,motorcycle,1,Metropolitian,28,6.205591081602371,15,13
11.025083,77.015393,11.105083,77.095393,17:10:00,17:20:00,20-03-2022,Sandstorms,Medium,Drinks,motorcycle,1,Metropolitian,24,12.438452034187614,10,14
12.316967,76.603067,12.446967,76.733067,19:15:00,19:30:00,31-03-2022,Cloudy,Jam,Meal,motorcycle,1,Urban,36,20.166286848244525,15,21
22.538731,88.364878,22.598731,88.424878,23:50:00,23:55:00,13-02-2022,Sandstorms,Low,Buffet,motorcycle,0,Metropolitian,28,9.067759514408271,5,23
11.001753,76.986241,11.111753,77.096241,18:45:00,18:50:00,29-03-2022,Fog,Medium,Drinks,motorcycle,1,Urban,31,17.103104604488404,5,26
22.310237,73.158921,22.400237,73.248921,20:40:00,20:45:00,16-03-2022,Sunny,Jam,Meal,motorcycle,3,Metropolitian,44,13.611105169020725,5,39
23.359033,85.325347,23.439033,85.405347,22:10:00,22:25:00,14-03-2022,Windy,Low,Drinks,scooter,1,Metropolitian,15,12.056968418188385,15,0
18.593481,73.785901,18.663481,73.855901,17:20:00,17:25:00,31-03-2022,Windy,Medium,Buffet,motorcycle,1,Metropolitian,33,10.704957546119868,5,28
21.186438,72.794115,21.236438,72.844115,19:55:00,20:10:00,17-03-2022,Fog,Jam,Buffet,motorcycle,0,Metropolitian,30,7.5891604266055,15,15
22.725748,75.898497,22.775748,75.948497,18:15:00,18:25:00,28-03-2022,Stormy,Medium,Snack,scooter,1,Metropolitian,22,7.551948584727422,10,12
17.450851,78.379347,17.540851,78.469347,17:25:00,17:35:00,04-03-2022,Fog,Medium,Meal,motorcycle,3,Metropolitian,48,13.804873199406153,10,38
13.081878,80.248519,13.171878,80.338519,23:45:00,00:00:00,04-03-2022,Stormy,Low,Drinks,electric_scooter,1,Metropolitian,19,13.941657178556436,15,4
10.035573,76.336958,10.105573,76.406958,18:30:00,18:35:00,14-02-2022,Windy,Medium,Snack,motorcycle,1,Urban,21,10.900635211617388,5,16
22.308096,73.167753,22.388096,73.247753,21:35:00,21:45:00,25-03-2022,Windy,Jam,Drinks,motorcycle,0,Metropolitian,44,12.099040609551,10,34
12.975996,80.221898,12.985996,80.231898,08:40:00,08:55:00,17-03-2022,Windy,Low,Drinks,scooter,0,Metropolitian,26,1.54950962213959,15,11
12.3085,76.665808,12.3385,76.695808,22:35:00,22:40:00,01-04-2022,Windy,Low,Buffet,scooter,1,Metropolitian,26,4.654256824131882,5,21
19.178321,72.834715,19.188321,72.844715,11:45:00,11:50:00,19-03-2022,Windy,High,Meal,motorcycle,1,Metropolitian,31,1.5269331229160863,5,26
26.910262,75.783013,26.990262,75.863013,19:10:00,19:15:00,02-03-2022,Sunny,Jam,Snack,scooter,0,Metropolitian,18,11.902924672837509,5,13
25.443994,81.860187,25.513994,81.930187,18:45:00,19:00:00,16-02-2022,Fog,Medium,Meal,motorcycle,1,Metropolitian,38,10.472797742862058,15,23
23.359194,85.325447,23.449194,85.415447,18:15:00,18:25:00,29-03-2022,Cloudy,Medium,Snack,motorcycle,1,Metropolitian,32,13.563852221699795,10,22
17.458998,78.500366,17.508998,78.550366,22:30:00,22:35:00,07-03-2022,Sandstorms,Low,Meal,scooter,1,Metropolitian,17,7.669607815933412,5,12
18.530963,73.828972,18.590963,73.888972,19:00:00,19:05:00,03-03-2022,Fog,Medium,Buffet,scooter,1,Urban,11,9.177365744557306,5,6
12.321214,76.621094,12.361214,76.661094,13:10:00,13:20:00,30-03-2022,Windy,High,Buffet,motorcycle,1,Metropolitian,31,6.205474967025106,10,21
12.3085,76.665808,12.3685,76.725808,17:55:00,18:05:00,19-03-2022,Windy,Medium,Meal,motorcycle,0,Metropolitian,25,9.30825848212404,10,15
19.055831,72.833984,19.115831,72.893984,19:50:00,20:05:00,15-03-2022,Cloudy,Jam,Snack,motorcycle,1,Metropolitian,22,9.164099415262326,15,7
12.337928,76.617889,12.407928,76.687889,21:15:00,21:20:00,02-03-2022,Fog,Jam,Drinks,motorcycle,3,Metropolitian,43,10.858950700039363,5,38
23.351489,85.324253,23.421489,85.394253,19:35:00,19:45:00,31-03-2022,Fog,Jam,Buffet,motorcycle,1,Metropolitian,42,10.550295445173376,10,32
22.728163,75.884212,22.808163,75.964212,19:10:00,19:20:00,06-03-2022,Stormy,Jam,Meal,motorcycle,0,Metropolitian,42,12.082423061297098,10,32
13.026286,80.275235,13.056286,80.305235,21:20:00,21:30:00,21-03-2022,Fog,Jam,Drinks,motorcycle,1,Metropolitian,34,4.647989333607506,10,24
26.766536,75.837333,26.786536,75.857333,09:50:00,10:05:00,01-03-2022,Sandstorms,Low,Snack,motorcycle,1,Metropolitian,17,2.977717993714077,15,2
21.149834,72.778666,21.179834,72.808666,20:35:00,20:40:00,24-03-2022,Stormy,Jam,Snack,scooter,0,Metropolitian,25,4.5541509794301644,5,20
12.3085,76.665808,12.3985,76.755808,21:15:00,21:25:00,04-04-2022,Sandstorms,Jam,Meal,motorcycle,1,Semi-Urban,54,13.96200434395474,10,44
21.149669,72.772629,21.219669,72.842629,23:00:00,23:15:00,02-03-2022,Windy,Low,Buffet,motorcycle,0,Metropolitian,21,10.625702124383546,15,6
26.482581,80.315628,26.572581,80.405628,19:45:00,19:50:00,12-02-2022,Fog,Jam,Meal,motorcycle,1,Metropolitian,36,13.41246037752413,5,31
12.284747,76.625861,12.344747,76.685861,17:45:00,17:55:00,05-04-2022,Sunny,Medium,Drinks,motorcycle,0,Metropolitian,17,9.308662119355631,10,7
26.911378,75.789034,26.921378,75.799034,09:00:00,09:10:00,03-03-2022,Sunny,Low,Meal,motorcycle,1,Metropolitian,16,1.4880598281970034,10,6
13.02978,80.208812,13.10978,80.288812,20:00:00,20:05:00,06-04-2022,Sunny,Jam,Meal,electric_scooter,1,Metropolitian,27,12.39395555693745,5,22
12.323194,76.630583,12.363194,76.670583,12:50:00,12:55:00,17-03-2022,Fog,High,Meal,motorcycle,1,Metropolitian,26,6.20545250887856,5,21
18.563934,73.915367,18.653934,74.005367,21:40:00,21:55:00,31-03-2022,Fog,Jam,Snack,motorcycle,2,Metropolitian,46,13.764250249667594,15,31
22.569367,88.433187,22.629367,88.493187,19:55:00,20:05:00,17-02-2022,Sunny,Jam,Buffet,motorcycle,0,Metropolitian,29,9.066849655818128,10,19
12.949934,77.699386,13.009934,77.759386,19:35:00,19:40:00,09-03-2022,Sandstorms,Jam,Snack,motorcycle,1,Metropolitian,23,9.297076456518704,5,18
22.725835,75.887648,22.835835,75.997648,17:10:00,17:25:00,25-03-2022,Stormy,Medium,Snack,motorcycle,0,Metropolitian,28,16.612635818204165,15,13
18.536562,73.896485,18.596562,73.956485,19:35:00,19:40:00,11-03-2022,Cloudy,Jam,Meal,motorcycle,1,Metropolitian,25,9.177225998300312,5,20
23.416792,85.316842,23.436792,85.336842,10:30:00,10:45:00,03-03-2022,Sandstorms,Low,Snack,motorcycle,0,Metropolitian,11,3.013958870983999,15,0
